question_id,user_input,reference,expected_reference,answer,contexts,retrieval_latency,generation_latency,input_tokens,output_tokens,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,e2e_latency,total_tokens,throughput_tokens_per_sec,cost_usd,Correctness,Faithfulness,Relevance,Completeness,Hallucination
Q01,"Apa saja mata kuliah wajib di Semester IV Program Studi D4 Teknologi Informasi beserta jumlah SKS, kode mata kuliah, dan dosennya?","Semester IV Kurikulum D4 Teknologi Informasi memuat beberapa mata kuliah wajib antara lain: Kecerdasan Artifisial dan Machine Learning (ET234405, 4 SKS), Sistem Informasi Perusahaan (EG234304, 3 SKS), Rekayasa Perangkat Lunak (SF234302, 3 SKS), Statistika dan Probabilitas (SM234204, 3 SKS), serta Pemrograman Web (UG234202, 2 SKS).",Kurikulum.pdf; Tabel 17 Daftar Mata Kuliah Semester-IV.,"Berdasarkan dokumen kurikulum, mata kuliah wajib Semester IV D4 Teknologi Informasi antara lain: ET234405 Kecerdasan Artifisial dan Machine Learning (4 SKS, teori 3 SKS + praktikum 1 SKS), EG234304 Sistem Informasi Perusahaan (3 SKS), SF234302 Rekayasa Perangkat Lunak (3 SKS), SM234204 Statistika dan Probabilitas (3 SKS), dan UG234202 Pemrograman Web (2 SKS).","[""Tabel 17 Daftar Mata Kuliah Semester-IV D4 Teknologi Informasi: ET234405 Kecerdasan Artifisial dan Machine Learning 4 SKS (Teori 3, Praktikum 1)."", ""EG234304 Sistem Informasi Perusahaan 3 SKS; SF234302 Rekayasa Perangkat Lunak 3 SKS."", ""SM234204 Statistika dan Probabilitas 3 SKS; UG234202 Pemrograman Web 2 SKS.""]",0.142,3.21,2840,198,0.92,0.88,0.8,0.85,3.352,3038,61.68224299065421,0.0002724,4,5,5,4,Tidak
Q02,"Pada hari Selasa pukul 13.00-15.30, ada kelas Kecerdasan Artifisial dan Machine Learning yang berjalan di dua ruangan berbeda. Sebutkan nama kelas, ruangan, semester, dan dosennya.","Pada Selasa pukul 13.00-15.30 terdapat dua kelas: Kecerdasan Artifisial dan Machine Learning A (1 SKS) di TW2-705, Semester 4, dengan dosen IZ dan DS; serta Kecerdasan Artifisial dan Machine Learning B (1 SKS) di Lab 902, Semester 4, dengan dosen RW dan IZ.",Jadwal Perkuliahan.docx; image2.png; bagian Selasa/Tuesday; baris 13.00-15.30; kolom TW2-705 dan Lab 902.,"Pada Selasa pukul 13.00–15.30 terdapat dua kelas: (1) Kecerdasan Artifisial dan Machine Learning A, 1 SKS, di TW2-705, Semester 4, dosen IZ dan DS; (2) Kecerdasan Artifisial dan Machine Learning B, 1 SKS, di Lab 902, Semester 4, dosen RW dan IZ.","[""Jadwal Selasa 13.00-15.30: Kecerdasan Artifisial dan Machine Learning A (1 SKS) TW2-705 Sem 4 IZ DS."", ""Jadwal Selasa 13.00-15.30: Kecerdasan Artifisial dan Machine Learning B (1 SKS) Lab 902 Sem 4 RW IZ."", ""Kode ET234405, total 4 SKS (3T+1P), wajib Semester IV.""]",0.138,2.87,2910,212,0.95,0.91,0.85,0.9,3.008,3122,73.86759581881533,0.00028185,5,5,5,5,Tidak
Q03,"Pada hari Kamis, kelas DTI apa saja yang dijadwalkan di Lab 902? Sertakan jam, nama kelas, SKS, semester, dan dosen.","Pada Kamis di Lab 902 terdapat dua kelas DTI. Pertama, pukul 07.30-10.00 terdapat Kecerdasan Artifisial dan Machine Learning C (1 SKS), Semester 4, dengan dosen RW dan IZ. Kedua, pukul 13.00-15.30 terdapat Teknologi Komputasi Awan B (1 SKS), Semester 4, dengan dosen HC dan FD.",Jadwal Perkuliahan.docx; image1.png; bagian Kamis/Thursday; kolom Lab 902.,"Pada Kamis di Lab 902 dijadwalkan dua kelas: (1) pukul 07.30–10.00: Kecerdasan Artifisial dan Machine Learning C (1 SKS), Semester 4, dosen RW dan IZ; (2) pukul 13.00–15.30: Teknologi Komputasi Awan B (1 SKS), Semester 4, dosen HC dan FD.","[""Jadwal Kamis 07.30-10.00: Kecerdasan Artifisial dan Machine Learning C (1 SKS) Lab 902 Sem 4 RW IZ."", ""Jadwal Kamis 13.00-15.30: Teknologi Komputasi Awan B (1 SKS) Lab 902 Sem 4 HC FD."", ""Lab 902 digunakan untuk kelas praktikum dan kelas paralel.""]",0.151,3.54,2780,175,0.9,0.87,0.78,0.83,3.691,2955,49.43502824858757,0.000261,4,5,4,4,Tidak
Q04,"Berdasarkan kurikulum dan jadwal perkuliahan, apakah Kecerdasan Artifisial dan Machine Learning memiliki komponen praktikum? Jika iya, pada jadwal Selasa sesi 13.00-15.30, kelas 1 SKS-nya dilaksanakan di mana saja?","Ya. Dalam kurikulum, Kecerdasan Artifisial dan Machine Learning / ET234405 memiliki 3 SKS teori dan 1 SKS praktikum, total 4 SKS. Pada jadwal Selasa pukul 13.00-15.30, kelas 1 SKS-nya muncul sebagai kelas A di TW2-705 (IZ, DS) dan kelas B di Lab 902 (RW, IZ).",Kurikulum.pdf; Tabel 17; baris ET234405. Jadwal Perkuliahan.docx; image2.png; Selasa 13.00-15.30.,"Ya, mata kuliah ET234405 Kecerdasan Artifisial dan Machine Learning memiliki komponen praktikum (1 SKS dari total 4 SKS). Pada Selasa 13.00–15.30, kelas praktikum 1 SKS dilaksanakan di TW2-705 (Kelas A, dosen IZ & DS) dan Lab 902 (Kelas B, dosen RW & IZ).","[""ET234405 Kecerdasan Artifisial dan Machine Learning memiliki 3 SKS teori dan 1 SKS praktikum."", ""Jadwal Selasa 13.00-15.30 Kelas A TW2-705 IZ DS; Kelas B Lab 902 RW IZ."", ""Praktikum dilaksanakan secara paralel di dua ruangan berbeda.""]",0.145,3.18,3050,243,0.88,0.9,0.82,0.88,3.325,3293,76.41509433962264,0.00030165,4,5,5,4,Tidak
Q05,"Seorang mahasiswa aktif S1 semester 6 sudah lulus minimal 90 SKS mata kuliah wajib dan ingin mengambil Magang Konversi SKS. Sebutkan ketentuan utama terkait durasi, jumlah SKS konversi, onboarding, PKS, pengambilan MK reguler, dan SIM Magang.","Mahasiswa memenuhi syarat dasar jika aktif S1/D4 minimal semester 6. Durasi Magang DUDI minimal 3 bulan, maksimal 6 bulan. Konversi alih kredit 10-20 SKS. Onboarding sebelum minggu ke-3 perkuliahan ITS. Wajib memiliki PKS sebelum pelaksanaan. Tidak boleh ambil MK reguler (kecuali Studi Independen, maks 3 MK/10 SKS). Wajib isi SIM Magang myITS Student Connect.","Sosialisasi Magang dan Prestasi DTI.pdf; slide 20, 21, 23.","Untuk Magang Konversi SKS, ketentuan utama adalah: mahasiswa aktif S1/D4 minimal semester 6 atau sudah lulus minimal 90 SKS wajib; durasi magang minimal 3 bulan, maksimal 6 bulan; konversi alih kredit sebesar 10–20 SKS; onboarding sebelum minggu ke-3 perkuliahan ITS; wajib memiliki PKS sebelum magang; tidak boleh mengambil MK reguler selama magang; wajib mengisi SIM Magang di myITS Student Connect.","[""Magang Konversi SKS: mahasiswa aktif S1/D4 minimal semester 6 atau sudah lulus min. 90 SKS wajib."", ""Durasi magang DUDI: minimal 3 bulan, maksimal 6 bulan. Konversi alih kredit: 10-20 SKS."", ""Onboarding sebelum minggu ke-3 perkuliahan ITS. Wajib PKS sebelum pelaksanaan. Dilarang ambil MK reguler.""]",0.133,4.02,3210,287,0.94,0.85,0.76,0.8,4.153,3497,71.39303482587066,0.00032685,5,5,5,5,Tidak
Q06,"Untuk Magang Mandiri di perusahaan yang belum memiliki PKS dengan ITS, urutkan deadline penting dari pengajuan Surat Pengantar sampai PKS final.","Deadline pengajuan Surat Pengantar Magang: 20 Juni 2025. Dokumen konfirmasi: PKS berpenomoran, Surat Penerimaan Magang, Pakta Integritas, Surat Izin Orang Tua. Deadline PKS diisi mitra: 18 Juli 2025. Deadline PKS ditandatangani mitra: 1 Agustus 2025. Jika PKS belum selesai sampai 1 Agustus 2025, mahasiswa tidak bisa konversi SKS.","Sosialisasi Magang dan Prestasi DTI.pdf; slide 39, 42, 43, 45.","Deadline Magang Mandiri: Surat Pengantar – 20 Juni 2025; PKS diisi mitra – 18 Juli 2025; PKS ditandatangani mitra – 1 Agustus 2025. Dokumen konfirmasi: PKS berpenomoran, Surat Penerimaan Magang, Pakta Integritas, Surat Izin Orang Tua. Jika PKS belum ditandatangani sampai 1 Agustus 2025, mahasiswa tidak dapat melakukan konversi SKS.","[""Magang Mandiri: deadline Surat Pengantar 20 Juni 2025. Dokumen: PKS, Surat Penerimaan, Pakta Integritas, Surat Izin Orang Tua."", ""Deadline PKS diisi mitra: 18 Juli 2025. Deadline PKS ditandatangani: 1 Agustus 2025."", ""Jika PKS belum selesai sampai 1 Agustus 2025, mahasiswa tidak dapat melakukan konversi SKS.""]",0.159,3.76,3480,305,0.91,0.89,0.83,0.87,3.9189999999999996,3785,81.11702127659575,0.0003525,5,5,5,4,Tidak
Q07,"Untuk Semester Genap 2025/2026, sebutkan tanggal FRS/perwalian S1/D4, awal semester, masa perkuliahan, batas perubahan MK, batas pengajuan cuti, dan batas pembatalan MK.",FRS & Perwalian S1/D4: 9-13 Feb 2026. FRS Pascasarjana baru: 16-20 Feb 2026. Awal Semester: 23 Feb 2026. Masa Perkuliahan: 23 Feb - 19 Jun 2026. Batas Perubahan MK: 13 Mar 2026. Batas Cuti: 27 Mar 2026. Batas Pembatalan MK: 8 Mei 2026.,Kalender-Akademik-ITS-Thn-Akademik-2025-2026.pdf; hal. 6; bagian III.4 dan III.5.,Semester Genap 2025/2026: FRS S1/D4 & Pascasarjana: 9–13 Feb 2026; FRS Maba Pascasarjana: 16–20 Feb 2026; Awal Semester: 23 Feb 2026; Masa Perkuliahan & Evaluasi: 23 Feb – 19 Jun 2026; Batas Perubahan MK: 13 Mar 2026; Batas Pengajuan Cuti: 27 Mar 2026; Batas Pembatalan MK: 8 Mei 2026.,"[""FRS Online dan Perwalian S1/D4 dan Pascasarjana: 9-13 Februari 2026."", ""Awal Semester Genap 2025/2026: 23 Februari 2026. Masa Perkuliahan & Evaluasi: 23 Feb - 19 Jun 2026."", ""Batas Perubahan MK: 13 Mar 2026. Batas Cuti: 27 Mar 2026. Batas Pembatalan MK: 8 Mei 2026.""]",0.128,2.93,2650,189,0.96,0.93,0.88,0.92,3.0580000000000003,2839,64.5051194539249,0.00025545,5,5,5,5,Tidak
Q08,"Mahasiswa S1 Semester V memperoleh IPS 3,48. Berapa maksimal SKS yang dapat diambil? Apakah jawabannya berubah jika IPS-nya 3,50? Jelaskan dasar aturannya.","IPS 3,48 → masuk rentang 3,00 ≤ IPS < 3,50 → maksimal 22 SKS. IPS 3,50 → masuk kategori IPS ≥ 3,50 → maksimal 24 SKS. Dasar aturan: Peraturan Akademik Pasal 51 tentang Pengambilan Beban Belajar.",Peraturan Akademik.pdf; hal. 34-35; Pasal 51; tabel beban belajar berdasarkan IPS.,"Berdasarkan Pasal 51 Peraturan Akademik: IPS 3,48 masuk rentang 3,00 ≤ IPS < 3,50, sehingga maksimal SKS yang dapat diambil adalah 22 SKS. Jika IPS 3,50, maka masuk kategori IPS ≥ 3,50, sehingga maksimal dapat mengambil 24 SKS.","[""Pasal 51: Beban belajar Semester III dst berdasarkan IPS. IPS 3,00-3,49: maksimal 22 SKS."", ""IPS ≥ 3,50: maksimal 24 SKS. IPS 2,50-2,99: maksimal 20 SKS. IPS < 2,50: maksimal 18 SKS."", ""Beban belajar ditentukan dengan persetujuan dosen wali.""]",0.147,2.65,2720,167,0.93,0.92,0.81,0.84,2.7969999999999997,2887,63.0188679245283,0.0002541,4,5,5,4,Tidak
Q09,"Mahasiswa S1/D4 ingin mengajukan cuti studi pada semester ke-3. Apa syarat umum, batas waktu, maksimal total semester cuti, maksimal cuti berturut-turut, dan apakah masa cuti dihitung dalam masa studi?",Syarat: telah kuliah min. 2 semester (kecuali kondisi khusus). Batas pengajuan: paling lambat 4 minggu setelah semester dimulai. Maksimal total cuti S1/D4: 4 semester. Maksimal berturut-turut: 2 semester. Masa cuti tidak dihitung dalam masa studi.,Peraturan Akademik.pdf; hal. 46-47; Pasal 74 Cuti Studi.,Syarat cuti: telah kuliah min. 2 semester pertama (kecuali kondisi khusus seperti hamil atau pengobatan serius). Batas pengajuan: paling lambat 4 minggu setelah semester dimulai. Maksimal total cuti untuk S1/D4: 4 semester. Maksimal berturut-turut: 2 semester. Masa cuti tidak diperhitungkan dalam masa studi.,"[""Pasal 74 Cuti Studi: mahasiswa dapat cuti jika telah kuliah min. 2 semester."", ""Batas pengajuan cuti: paling lambat 4 minggu setelah semester dimulai. Total maks cuti S1/D4: 4 semester."", ""Maksimal berturut-turut: 2 semester. Masa cuti tidak diperhitungkan dalam masa studi.""]",0.136,3.41,3010,224,0.89,0.86,0.79,0.82,3.5460000000000003,3234,65.6891495601173,0.00029295,5,5,5,5,Tidak
Q10,"Dari rekap skor UTBK Teknologi Informasi 2025, subtes mana yang memiliki nilai maksimum tertinggi? Apakah juga memiliki rata-rata tertinggi? Sertakan nilai min, rata-rata, dan maks subtes tersebut, serta subtes dengan rata-rata tertinggi.","Nilai maksimum tertinggi: PM (Penalaran Matematika) = 912,67. PM bukan rata-rata tertinggi (rata-rata PM 728,12, min 560,07). Rata-rata tertinggi: PK (Pengetahuan Kuantitatif) = 759,07.",Nilai snbt 2025.pdf; hal. 2; tabel SUBTES/MINIMUM/RATA-RATA/MAKSIMUM.,"Berdasarkan rekap skor UTBK Teknologi Informasi 2025: nilai maksimum tertinggi dimiliki PM (Penalaran Matematika) sebesar 912,67. Namun PM bukan yang rata-ratanya tertinggi (rata-rata PM = 728,12, minimum = 560,07). Subtes dengan rata-rata tertinggi adalah PK (Pengetahuan Kuantitatif) dengan rata-rata 759,07.","[""Rekap UTBK TI 2025: PM (Penalaran Matematika) min 560.07, rata-rata 728.12, maks 912.67."", ""PK (Pengetahuan Kuantitatif) min 680.22, rata-rata 759.07, maks 889.45."", ""PM memiliki nilai maksimum tertinggi; PK memiliki rata-rata tertinggi.""]",0.155,2.78,2590,158,0.97,0.94,0.9,0.91,2.9349999999999996,2748,56.834532374100725,0.00024164999999999996,4,5,4,4,Tidak
